Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class,id
23562,612.0840000000001,0.0,122.512653450744,2.01000014843376,0.8674568639308471,23959,173.205283271181,0.6982574679943101,0.98343002629492,0.790314520754052,0.703370418738362,0.0104511693243787,0.0015779056987465,0.494729945956179,0.994407264806548,DERMASON,0
-36424,717.948,275.400181763521,168.756112242445,1.6319419670433402,0.790263716348933,36768,215.351984382391,0.6817909553758609,0.990644038294169,0.8879970464454159,0.781960211512525,0.0075609538151636,0.0017437931592732,0.6114617723887139,0.997870127603842,DERMASON,1
-37903,727.7080000000001,273.19558808676203,177.348275297042,1.5404468277415402,0.7606499280768859,38267,219.680673852064,0.7661815241560541,0.99048788773617,0.899433689958366,0.804115012949247,0.0072077563276458,0.0018588850768736,0.6466009540503679,0.996054388481545,SIRA,2
82619,1114.99,442.418929217708,239.70901089699,1.84564997186454,0.8404980658341129,83605,324.335902956294,0.80850001957177,0.988206446982836,0.835118017121607,0.7330968038139541,0.0053549296072054,0.0009540669094385,0.537430923762235,0.991909369320905,CALI,3
33423,659.0360000000001,224.16805278239,189.98107973797295,1.17994935649155,0.5308049734733921,33707,206.28980901557705,0.772982723929786,0.991574450410894,0.9670234720394468,0.9202462458637308,0.006706999754133,0.0029670459407516,0.84685315302629,0.999243832956209,SEKER,4
48813,836.893,325.653675040661,191.571129107979,1.69990998412451,0.808667170032662,49327,249.300304647141,0.8003443187407769,0.98957974334543,0.8758011138311501,0.765538127632105,0.0066714538143662,0.0014134080125703,0.58604862485847,0.996229908579355,SIRA,5
56247,944.16,325.140829960492,221.055522928437,1.4708559444848202,0.7333268757605369,57246,267.611480831295,0.7763561076604549,0.982548999056703,0.7928992977814441,0.823063288802619,0.0057805897196382,0.0016363825281467,0.6774331773745831,0.996406615932646,BARBUNYA,6
50832,887.3710000000001,366.188565475532,178.018133402918,2.05702957600796,0.873882120365881,51485,254.40383750639,0.8044310808672259,0.987316694182772,0.811216169226113,0.6947345206588361,0.0072038984394777,0.0010351966561959,0.4826560541950629,0.9928377785185428,HOROZ,7
-59526,957.048,388.570711120883,196.295486191889,1.97951933923246,0.863018017639816,60134,275.30139327636,0.793077261281426,0.98988924734759,0.816674741979115,0.7084975408522621,0.0065277477257145,0.0010146038678155,0.5019687653937029,0.993656878787476,HOROZ,8
61150,988.821,411.70810651846494,190.18220933154203,2.16480872719666,0.8869140026765991,61889,279.031536139833,0.608022113510719,0.988059267398084,0.785906649143447,0.677741175658195,0.0067327572611359,0.0008762503539391,0.459333101182552,0.994368306130294,HOROZ,9
